dealer	player	hit	stay	double	hit	stay	double
2	17A	0.417	0.36	0.458	[417, 96, 487]	[360, 126, 514]	[458, 82, 460]
2	18	0.167	0.493	0.17	[834, 186, 3980]	[2465, 683, 1852]	[850, 139, 4011]
2	18A	0.458	0.499	0.484	[458, 110, 432]	[499, 136, 365]	[484, 80, 436]
2	19	0.133	0.612	0.149	[532, 64, 3404]	[2448, 516, 1036]	[596, 72, 3332]
2	19A	0.509	0.611	0.523	[509, 95, 396]	[611, 140, 249]	[523, 71, 406]
2	20	0.072	0.757	0.062	[288, 48, 3664]	[3028, 464, 508]	[248, 36, 3716]
2	20A	0.511	0.764	0.549	[511, 104, 385]	[764, 124, 112]	[549, 75, 376]
3	2A	0.458	0.373	0.475	[458, 93, 449]	[373, 0, 627]	[475, 45, 480]
3	3A	0.454	0.372	0.496	[454, 96, 450]	[372, 0, 628]	[496, 43, 461]
3	4	0.382	0.386	0.38	[382, 85, 533]	[386, 0, 614]	[380, 0, 620]
3	4A	0.454	0.379	0.47	[454, 82, 464]	[379, 0, 621]	[470, 41, 489]
3	5	0.358	0.368	0.36	[358, 77, 565]	[368, 0, 632]	[360, 0, 640]
3	5A	0.435	0.355	0.45	[435, 79, 486]	[355, 0, 645]	[450, 45, 505]
3	6	0.357	0.379	0.393	[715, 139, 1146]	[757, 0, 1243]	[786, 22, 1192]
3	6A	0.42	0.381	0.487	[420, 89, 491]	[381, 0, 619]	[487, 58, 455]
3	7	0.379	0.372	0.38	[758, 185, 1057]	[744, 0, 1256]	[760, 118, 1122]
3	7A	0.428	0.377	0.481	[428, 108, 464]	[377, 157, 466]	[481, 63, 456]
3	8	0.425	0.385	0.427	[1275, 292, 1433]	[1154, 0, 1846]	[1282, 181, 1537]
3	8A	0.463	0.504	0.514	[463, 103, 434]	[504, 132, 364]	[514, 100, 386]
3	9	0.488	0.389	0.484	[1464, 264, 1272]	[1166, 0, 1834]	[1451, 208, 1341]
3	9A	0.491	0.605	0.511	[491, 95, 414]	[605, 121, 274]	[511, 81, 408]
3	10	0.525	0.357	0.566	[2100, 392, 1508]	[1428, 0, 2572]	[2263, 295, 1442]
3	10A	0.553	0.766	0.54	[553, 88, 359]	[766, 107, 127]	[540, 71, 389]
3	11	0.566	0.361	0.591	[2264, 392, 1344]	[1444, 0, 2556]	[2365, 291, 1344]
3	11A	0.541	0.872	0.591	[2164, 308, 1528]	[3488, 512, 0]	[2364, 260, 1376]
