dealer	player	hit	stay	double	hit	stay	double
1	2A	0.295	0.113	0.226	[295, 125, 580]	[113, 0, 887]	[226, 72, 702]
1	3A	0.271	0.12	0.213	[271, 139, 590]	[120, 0, 880]	[213, 71, 716]
1	4	0.248	0.101	0.12	[248, 104, 648]	[101, 0, 899]	[120, 0, 880]
1	4A	0.268	0.117	0.201	[268, 138, 594]	[117, 0, 883]	[201, 72, 727]
1	5	0.179	0.119	0.089	[179, 105, 716]	[119, 0, 881]	[89, 0, 911]
1	5A	0.242	0.119	0.213	[242, 138, 620]	[119, 0, 881]	[213, 63, 724]
1	6	0.173	0.105	0.112	[347, 178, 1475]	[210, 0, 1790]	[224, 9, 1767]
1	6A	0.229	0.094	0.193	[229, 97, 674]	[94, 0, 906]	[193, 64, 743]
1	7	0.188	0.125	0.114	[376, 211, 1413]	[250, 0, 1750]	[228, 97, 1675]
1	7A	0.223	0.116	0.216	[223, 112, 665]	[116, 117, 767]	[216, 103, 681]
1	8	0.224	0.124	0.173	[672, 362, 1966]	[371, 0, 2629]	[518, 191, 2291]
1	8A	0.262	0.222	0.247	[262, 139, 599]	[222, 108, 670]	[247, 100, 653]
1	9	0.272	0.106	0.235	[815, 362, 1823]	[319, 0, 2681]	[706, 197, 2097]
1	9A	0.303	0.389	0.244	[303, 116, 581]	[389, 117, 494]	[244, 113, 643]
1	10	0.315	0.124	0.313	[1261, 493, 2246]	[497, 0, 3503]	[1250, 388, 2362]
1	10A	0.332	0.526	0.279	[332, 121, 547]	[526, 122, 352]	[279, 78, 643]
1	11	0.36	0.121	0.357	[1442, 728, 1830]	[485, 0, 3515]	[1429, 629, 1942]
1	11A	0.369	0.638	0.335	[1476, 692, 1832]	[2552, 1448, 0]	[1340, 588, 2072]
1	12	0.182	0.116	0.166	[1460, 641, 5899]	[924, 0, 7076]	[1329, 482, 6189]
1	12A	0.271	0.122	0.22	[271, 128, 601]	[122, 0, 878]	[220, 75, 705]
1	13	0.164	0.112	0.174	[1151, 558, 5291]	[787, 0, 6213]	[1215, 424, 5361]
1	13A	0.241	0.116	0.223	[241, 147, 612]	[116, 0, 884]	[223, 82, 695]
1	14	0.17	0.128	0.155	[1188, 536, 5276]	[893, 0, 6107]	[1087, 477, 5436]
1	14A	0.27	0.14	0.225	[270, 125, 605]	[140, 0, 860]	[225, 57, 718]
1	15	0.156	0.1	0.152	[938, 433, 4629]	[598, 0, 5402]	[910, 388, 4702]
1	15A	0.248	0.108	0.22	[248, 118, 634]	[108, 0, 892]	[220, 86, 694]
1	16	0.139	0.133	0.153	[834, 456, 4710]	[797, 0, 5203]	[916, 426, 4658]
1	16A	0.234	0.109	0.22	[234, 113, 653]	[109, 0, 891]	[220, 60, 720]
1	17	0.127	0.118	0.151	[634, 317, 4049]	[590, 669, 3741]	[757, 307, 3936]
1	17A	0.201	0.112	0.202	[201, 118, 681]	[112, 109, 779]	[202, 98, 700]
1	18	0.127	0.243	0.111	[636, 224, 4140]	[1214, 687, 3099]	[554, 212, 4234]
1	18A	0.254	0.249	0.248	[254, 136, 610]	[249, 120, 631]	[248, 100, 652]
1	19	0.087	0.393	0.103	[348, 96, 3556]	[1572, 520, 1908]	[412, 196, 3392]
1	19A	0.289	0.374	0.265	[289, 137, 574]	[374, 113, 513]	[265, 88, 647]
1	20	0.037	0.535	0.044	[148, 72, 3780]	[2140, 472, 1388]	[176, 64, 3760]
1	20A	0.301	0.512	0.276	[301, 115, 584]	[512, 118, 370]	[276, 80, 644]
2	2A	0.484	0.361	0.471	[484, 79, 437]	[361, 0, 639]	[471, 43, 486]
2	3A	0.446	0.374	0.467	[446, 94, 460]	[374, 0, 626]	[467, 47, 486]
2	4	0.363	0.367	0.396	[363, 82, 555]	[367, 0, 633]	[396, 0, 604]
2	4A	0.431	0.38	0.467	[431, 78, 491]	[380, 0, 620]	[467, 44, 489]
2	5	0.347	0.364	0.374	[347, 63, 590]	[364, 0, 636]	[374, 0, 626]
2	5A	0.411	0.356	0.457	[411, 94, 495]	[356, 0, 644]	[457, 39, 504]
2	6	0.335	0.348	0.346	[670, 139, 1191]	[696, 0, 1304]	[692, 34, 1274]
2	6A	0.379	0.367	0.457	[379, 67, 554]	[367, 0, 633]	[457, 41, 502]
2	7	0.355	0.355	0.362	[711, 187, 1102]	[710, 0, 1290]	[724, 99, 1177]
2	7A	0.427	0.36	0.487	[427, 106, 467]	[360, 126, 514]	[487, 80, 433]
2	8	0.411	0.343	0.434	[1234, 296, 1470]	[1030, 0, 1970]	[1301, 192, 1507]
2	8A	0.501	0.507	0.505	[501, 99, 400]	[507, 124, 369]	[505, 84, 411]
2	9	0.46	0.36	0.488	[1381, 298, 1321]	[1081, 0, 1919]	[1465, 254, 1281]
2	9A	0.506	0.622	0.535	[506, 93, 401]	[622, 150, 228]	[535, 67, 398]
2	10	0.526	0.371	0.569	[2105, 402, 1493]	[1485, 0, 2515]	[2275, 354, 1371]
2	10A	0.529	0.755	0.565	[529, 110, 361]	[755, 139, 106]	[565, 85, 350]
2	11	0.561	0.36	0.608	[2243, 393, 1364]	[1440, 0, 2560]	[2430, 306, 1264]
2	11A	0.575	0.883	0.609	[2300, 320, 1380]	[3532, 468, 0]	[2436, 276, 1288]
2	12	0.319	0.357	0.345	[2555, 487, 4958]	[2858, 0, 5142]	[2760, 408, 4832]
2	12A	0.486	0.362	0.489	[486, 87, 427]	[362, 0, 638]	[489, 46, 465]
2	13	0.293	0.343	0.312	[2052, 421, 4527]	[2399, 0, 4601]	[2184, 352, 4464]
2	13A	0.457	0.344	0.462	[457, 94, 449]	[344, 0, 656]	[462, 50, 488]
2	14	0.259	0.354	0.278	[1815, 385, 4800]	[2476, 0, 4524]	[1946, 369, 4685]
2	14A	0.417	0.385	0.437	[417, 101, 482]	[385, 0, 615]	[437, 44, 519]
2	15	0.27	0.349	0.255	[1621, 264, 4115]	[2094, 0, 3906]	[1529, 307, 4164]
2	15A	0.403	0.363	0.468	[403, 93, 504]	[363, 0, 637]	[468, 54, 478]
2	16	0.254	0.353	0.238	[1522, 256, 4222]	[2118, 0, 3882]	[1428, 333, 4239]
2	16A	0.374	0.371	0.459	[374, 95, 531]	[371, 0, 629]	[459, 46, 495]
2	17	0.225	0.344	0.227	[1127, 203, 3670]	[1720, 750, 2530]	[1133, 171, 3696]
2	17A	0.416	0.357	0.449	[416, 121, 463]	[357, 144, 499]	[449, 80, 471]
2	18	0.17	0.508	0.177	[848, 136, 4016]	[2541, 632, 1827]	[886, 129, 3985]
2	18A	0.437	0.517	0.493	[437, 103, 460]	[517, 115, 368]	[493, 67, 440]
2	19	0.098	0.612	0.112	[392, 52, 3556]	[2448, 596, 956]	[448, 64, 3488]
2	19A	0.493	0.626	0.51	[493, 108, 399]	[626, 145, 229]	[510, 71, 419]
2	20	0.06	0.77	0.072	[240, 56, 3704]	[3080, 496, 424]	[288, 52, 3660]
2	20A	0.517	0.762	0.541	[517, 99, 384]	[762, 113, 125]	[541, 94, 365]
3	2A	0.486	0.384	0.477	[486, 88, 426]	[384, 0, 616]	[477, 56, 467]
3	3A	0.461	0.352	0.485	[461, 83, 456]	[352, 0, 648]	[485, 46, 469]
3	4	0.39	0.346	0.396	[390, 82, 528]	[346, 0, 654]	[396, 0, 604]
3	4A	0.429	0.384	0.459	[429, 88, 483]	[384, 0, 616]	[459, 48, 493]
3	5	0.359	0.37	0.388	[359, 55, 586]	[370, 0, 630]	[388, 0, 612]
3	5A	0.427	0.39	0.475	[427, 60, 513]	[390, 0, 610]	[475, 52, 473]
3	6	0.331	0.383	0.376	[661, 147, 1192]	[766, 0, 1234]	[752, 17, 1231]
