dealer	player	hit	stay	double	hit	stay	double
1	2A	0.286	0.12	0.22	[286, 124, 590]	[120, 0, 880]	[220, 85, 695]
1	3A	0.308	0.093	0.222	[308, 126, 566]	[93, 0, 907]	[222, 62, 716]
1	4	0.217	0.106	0.108	[217, 99, 684]	[106, 0, 894]	[108, 0, 892]
1	4A	0.26	0.111	0.233	[260, 128, 612]	[111, 0, 889]	[233, 65, 702]
1	5	0.227	0.114	0.131	[227, 107, 666]	[114, 0, 886]	[131, 0, 869]
1	5A	0.258	0.115	0.223	[258, 107, 635]	[115, 0, 885]	[223, 56, 721]
1	6	0.203	0.097	0.126	[406, 199, 1395]	[194, 0, 1806]	[252, 19, 1729]
1	6A	0.249	0.102	0.211	[249, 124, 627]	[102, 0, 898]	[211, 60, 729]
1	7	0.178	0.114	0.126	[356, 214, 1430]	[227, 0, 1773]	[252, 82, 1666]
1	7A	0.238	0.111	0.219	[238, 116, 646]	[111, 124, 765]	[219, 99, 682]
1	8	0.236	0.115	0.176	[707, 319, 1974]	[344, 0, 2656]	[527, 189, 2284]
1	8A	0.249	0.211	0.258	[249, 120, 631]	[211, 144, 645]	[258, 106, 636]
1	9	0.259	0.122	0.245	[777, 356, 1867]	[366, 0, 2634]	[735, 201, 2064]
1	9A	0.29	0.399	0.311	[290, 139, 571]	[399, 126, 475]	[311, 103, 586]
1	10	0.319	0.114	0.317	[1277, 525, 2198]	[455, 0, 3545]	[1266, 364, 2370]
1	10A	0.32	0.515	0.305	[320, 130, 550]	[515, 118, 367]	[305, 88, 607]
1	11	0.347	0.118	0.353	[1388, 744, 1868]	[472, 0, 3528]	[1411, 627, 1962]
1	11A	0.354	0.635	0.368	[1416, 756, 1828]	[2540, 1460, 0]	[1472, 532, 1996]
1	12	0.194	0.114	0.184	[1549, 740, 5711]	[909, 0, 7091]	[1472, 644, 5884]
1	12A	0.284	0.11	0.198	[284, 120, 596]	[110, 0, 890]	[198, 83, 719]
1	13	0.167	0.124	0.183	[1169, 708, 5123]	[870, 0, 6130]	[1283, 552, 5165]
1	13A	0.271	0.119	0.219	[271, 135, 594]	[119, 0, 881]	[219, 70, 711]
1	14	0.169	0.114	0.153	[1183, 583, 5234]	[799, 0, 6201]	[1068, 484, 5448]
1	14A	0.262	0.115	0.2	[262, 132, 606]	[115, 0, 885]	[200, 77, 723]
1	15	0.161	0.114	0.164	[967, 407, 4626]	[683, 0, 5317]	[986, 354, 4660]
1	15A	0.266	0.125	0.195	[266, 113, 621]	[125, 0, 875]	[195, 86, 719]
1	16	0.141	0.124	0.152	[843, 389, 4768]	[746, 0, 5254]	[914, 413, 4673]
1	16A	0.269	0.12	0.227	[269, 115, 616]	[120, 0, 880]	[227, 71, 702]
1	17	0.127	0.117	0.135	[634, 332, 4034]	[583, 622, 3795]	[675, 314, 4011]
1	17A	0.23	0.105	0.206	[230, 130, 640]	[105, 150, 745]	[206, 106, 688]
1	18	0.144	0.247	0.106	[720, 195, 4085]	[1236, 606, 3158]	[528, 246, 4226]
1	18A	0.259	0.243	0.275	[259, 124, 617]	[243, 144, 613]	[275, 109, 616]
1	19	0.083	0.385	0.071	[332, 124, 3544]	[1540, 500, 1960]	[284, 144, 3572]
1	19A	0.302	0.385	0.263	[302, 140, 558]	[385, 133, 482]	[263, 108, 629]
1	20	0.036	0.518	0.038	[144, 84, 3772]	[2072, 556, 1372]	[152, 132, 3716]
1	20A	0.307	0.5	0.302	[307, 126, 567]	[500, 141, 359]	[302, 108, 590]
2	2A	0.471	0.345	0.438	[471, 90, 439]	[345, 0, 655]	[438, 50, 512]
2	3A	0.455	0.344	0.464	[455, 94, 451]	[344, 0, 656]	[464, 43, 493]
2	4	0.355	0.358	0.357	[355, 79, 566]	[358, 0, 642]	[357, 0, 643]
2	4A	0.451	0.35	0.451	[451, 94, 455]	[350, 0, 650]	[451, 50, 499]
2	5	0.365	0.327	0.358	[365, 92, 543]	[327, 0, 673]	[358, 0, 642]
2	5A	0.397	0.353	0.445	[397, 83, 520]	[353, 0, 647]	[445, 55, 500]
2	6	0.331	0.351	0.355	[661, 153, 1186]	[702, 0, 1298]	[710, 22, 1268]
2	6A	0.396	0.37	0.478	[396, 106, 498]	[370, 0, 630]	[478, 48, 474]
2	7	0.37	0.366	0.365	[740, 171, 1089]	[732, 0, 1268]	[731, 100, 1169]
2	7A	0.402	0.355	0.448	[402, 111, 487]	[355, 142, 503]	[448, 75, 477]
2	8	0.424	0.354	0.408	[1273, 314, 1413]	[1061, 0, 1939]	[1223, 199, 1578]
2	8A	0.446	0.499	0.488	[446, 115, 439]	[499, 122, 379]	[488, 86, 426]
2	9	0.457	0.37	0.488	[1371, 300, 1329]	[1109, 0, 1891]	[1464, 200, 1336]
2	9A	0.477	0.615	0.524	[477, 109, 414]	[615, 137, 248]	[524, 74, 402]
2	10	0.509	0.353	0.546	[2035, 406, 1559]	[1414, 0, 2586]	[2185, 318, 1497]
2	10A	0.512	0.778	0.572	[512, 94, 394]	[778, 125, 97]	[572, 71, 357]
2	11	0.554	0.356	0.589	[2216, 388, 1396]	[1425, 0, 2575]	[2354, 301, 1345]
2	11A	0.552	0.888	0.557	[2208, 440, 1352]	[3552, 448, 0]	[2228, 320, 1452]
2	12	0.311	0.351	0.333	[2486, 570, 4944]	[2808, 0, 5192]	[2663, 394, 4943]
2	12A	0.483	0.354	0.468	[483, 104, 413]	[354, 0, 646]	[468, 52, 480]
2	13	0.289	0.369	0.319	[2026, 397, 4577]	[2582, 0, 4418]	[2235, 376, 4389]
2	13A	0.429	0.373	0.442	[429, 107, 464]	[373, 0, 627]	[442, 52, 506]
2	14	0.294	0.351	0.291	[2055, 398, 4547]	[2458, 0, 4542]	[2037, 375, 4588]
2	14A	0.448	0.351	0.468	[448, 88, 464]	[351, 0, 649]	[468, 44, 488]
2	15	0.26	0.342	0.269	[1557, 354, 4089]	[2050, 0, 3950]	[1616, 319, 4065]
2	15A	0.426	0.342	0.448	[426, 91, 483]	[342, 0, 658]	[448, 42, 510]
2	16	0.249	0.366	0.24	[1492, 246, 4262]	[2195, 0, 3805]	[1443, 280, 4277]
2	16A	0.378	0.339	0.469	[378, 91, 531]	[339, 0, 661]	[469, 54, 477]
2	17	0.21	0.352	0.211	[1048, 219, 3733]	[1758, 628, 2614]	[1054, 215, 3731]
2	17A	0.403	0.339	0.442	[403, 105, 492]	[339, 145, 516]	[442, 83, 475]
2	18	0.159	0.492	0.184	[793, 121, 4086]	[2462, 651, 1887]	[919, 209, 3872]
2	18A	0.473	0.487	0.487	[473, 114, 413]	[487, 153, 360]	[487, 85, 428]
2	19	0.111	0.654	0.147	[444, 84, 3472]	[2616, 456, 928]	[588, 68, 3344]
2	19A	0.504	0.641	0.506	[504, 93, 403]	[641, 141, 218]	[506, 89, 405]
2	20	0.068	0.765	0.061	[272, 36, 3692]	[3060, 496, 444]	[244, 48, 3708]
2	20A	0.525	0.759	0.568	[525, 99, 376]	[759, 117, 124]	[568, 83, 349]
3	2A	0.502	0.406	0.485	[502, 88, 410]	[406, 0, 594]	[485, 54, 461]
3	3A	0.449	0.398	0.45	[449, 83, 468]	[398, 0, 602]	[450, 53, 497]
3	4	0.371	0.356	0.374	[371, 74, 555]	[356, 0, 644]	[374, 0, 626]
3	4A	0.461	0.369	0.497	[461, 79, 460]	[369, 0, 631]	[497, 48, 455]
3	5	0.371	0.381	0.381	[371, 77, 552]	[381, 0, 619]	[381, 0, 619]
3	5A	0.421	0.374	0.458	[421, 89, 490]	[374, 0, 626]	[458, 56, 486]
3	6	0.35	0.383	0.382	[700, 180, 1120]	[766, 0, 1234]	[763, 24, 1213]
3	6A	0.424	0.376	0.478	[424, 74, 502]	[376, 0, 624]	[478, 36, 486]
3	7	0.391	0.376	0.375	[781, 200, 1019]	[751, 0, 1249]	[750, 110, 1140]
3	7A	0.427	0.383	0.461	[427, 101, 472]	[383, 139, 478]	[461, 81, 458]
3	8	0.421	0.368	0.434	[1263, 334, 1403]	[1104, 0, 1896]	[1302, 217, 1481]
3	8A	0.468	0.499	0.517	[468, 110, 422]	[499, 126, 375]	[517, 69, 414]
3	9	0.468	0.363	0.486	[1405, 297, 1298]	[1089, 0, 1911]	[1458, 197, 1345]
3	9A	0.486	0.613	0.507	[486, 104, 410]	[613, 134, 253]	[507, 72, 421]
3	10	0.519	0.37	0.562	[2076, 385, 1539]	[1480, 0, 2520]	[2248, 318, 1434]
3	10A	0.534	0.769	0.558	[534, 100, 366]	[769, 121, 110]	[558, 76, 366]
3	11	0.558	0.373	0.582	[2233, 416, 1351]	[1494, 0, 2506]	[2329, 312, 1359]
3	11A	0.587	0.901	0.589	[2348, 344, 1308]	[3604, 396, 0]	[2356, 316, 1328]
3	12	0.319	0.367	0.35	[2552, 510, 4938]	[2940, 0, 5060]	[2798, 386, 4816]
3	12A	0.499	0.402	0.481	[499, 79, 422]	[402, 0, 598]	[481, 51, 468]
3	13	0.306	0.362	0.333	[2145, 376, 4479]	[2536, 0, 4464]	[2330, 332, 4338]
3	13A	0.434	0.403	0.478	[434, 85, 481]	[403, 0, 597]	[478, 50, 472]
3	14	0.304	0.369	0.288	[2128, 430, 4442]	[2584, 0, 4416]	[2017, 347, 4636]
3	14A	0.443	0.405	0.502	[443, 82, 475]	[405, 0, 595]	[502, 45, 453]
3	15	0.258	0.379	0.266	[1548, 278, 4174]	[2274, 0, 3726]	[1596, 278, 4126]
3	15A	0.432	0.377	0.488	[432, 89, 479]	[377, 0, 623]	[488, 49, 463]
3	16	0.244	0.385	0.235	[1463, 302, 4235]	[2310, 0, 3690]	[1413, 303, 4284]
3	16A	0.387	0.367	0.463	[387, 81, 532]	[367, 0, 633]	[463, 54, 483]
3	17	0.226	0.374	0.225	[1131, 217, 3652]	[1869, 680, 2451]	[1125, 199, 3676]
3	17A	0.426	0.38	0.469	[426, 101, 473]	[380, 142, 478]	[469, 80, 451]
3	18	0.167	0.515	0.177	[836, 126, 4038]	[2573, 660, 1767]	[883, 135, 3982]
3	18A	0.446	0.481	0.529	[446, 109, 445]	[481, 142, 377]	[529, 71, 400]
3	19	0.121	0.602	0.123	[484, 104, 3412]	[2408, 552, 1040]	[492, 120, 3388]
3	19A	0.493	0.636	0.531	[493, 89, 418]	[636, 124, 240]	[531, 85, 384]
3	20	0.064	0.758	0.075	[256, 24, 3720]	[3032, 512, 456]	[300, 4, 3696]
3	20A	0.554	0.784	0.567	[554, 100, 346]	[784, 108, 108]	[567, 84, 349]
4	2A	0.5	0.402	0.501	[500, 92, 408]	[402, 0, 598]	[501, 42, 457]
4	3A	0.468	0.362	0.492	[468, 100, 432]	[362, 0, 638]	[492, 42, 466]
4	4	0.396	0.38	0.386	[396, 68, 536]	[380, 0, 620]	[386, 0, 614]
4	4A	0.451	0.37	0.481	[451, 81, 468]	[370, 0, 630]	[481, 52, 467]
4	5	0.387	0.398	0.401	[387, 63, 550]	[398, 0, 602]	[401, 0, 599]
4	5A	0.426	0.408	0.493	[426, 86, 488]	[408, 0, 592]	[493, 42, 465]
4	6	0.365	0.369	0.387	[731, 143, 1126]	[738, 0, 1262]	[773, 21, 1206]
4	6A	0.44	0.433	0.518	[440, 89, 471]	[433, 0, 567]	[518, 48, 434]
4	7	0.403	0.409	0.397	[805, 188, 1007]	[819, 0, 1181]	[793, 103, 1104]
4	7A	0.433	0.418	0.473	[433, 90, 477]	[418, 122, 460]	[473, 86, 441]
4	8	0.433	0.408	0.464	[1299, 284, 1417]	[1223, 0, 1777]	[1391, 161, 1448]
4	8A	0.488	0.494	0.521	[488, 98, 414]	[494, 136, 370]	[521, 66, 413]
4	9	0.499	0.409	0.503	[1498, 293, 1209]	[1226, 0, 1774]	[1510, 218, 1272]
4	9A	0.549	0.657	0.551	[549, 79, 372]	[657, 127, 216]	[551, 66, 383]
4	10	0.535	0.398	0.589	[2139, 367, 1494]	[1590, 0, 2410]	[2354, 297, 1349]
4	10A	0.564	0.777	0.596	[564, 74, 362]	[777, 109, 114]	[596, 71, 333]
4	11	0.566	0.398	0.604	[2264, 376, 1360]	[1592, 0, 2408]	[2417, 290, 1293]
4	11A	0.547	0.886	0.593	[2188, 428, 1384]	[3544, 456, 0]	[2372, 296, 1332]
4	12	0.347	0.409	0.367	[2777, 541, 4682]	[3269, 0, 4731]	[2938, 372, 4690]
4	12A	0.49	0.383	0.48	[490, 80, 430]	[383, 0, 617]	[480, 54, 466]
4	13	0.3	0.42	0.326	[2101, 369, 4530]	[2941, 0, 4059]	[2280, 365, 4355]
4	13A	0.497	0.394	0.495	[497, 100, 403]	[394, 0, 606]	[495, 56, 449]
4	14	0.283	0.39	0.317	[1984, 378, 4638]	[2731, 0, 4269]	[2219, 348, 4433]
4	14A	0.481	0.371	0.502	[481, 83, 436]	[371, 0, 629]	[502, 45, 453]
4	15	0.273	0.4	0.291	[1640, 285, 4075]	[2397, 0, 3603]	[1744, 271, 3985]
4	15A	0.442	0.373	0.484	[442, 83, 475]	[373, 0, 627]	[484, 58, 458]
4	16	0.248	0.404	0.249	[1487, 289, 4224]	[2422, 0, 3578]	[1497, 281, 4222]
4	16A	0.42	0.374	0.475	[420, 81, 499]	[374, 0, 626]	[475, 43, 482]
4	17	0.225	0.393	0.221	[1127, 192, 3681]	[1964, 665, 2371]	[1104, 201, 3695]
4	17A	0.442	0.387	0.478	[442, 103, 455]	[387, 133, 480]	[478, 87, 435]
4	18	0.185	0.535	0.177	[926, 159, 3915]	[2676, 580, 1744]	[886, 120, 3994]
4	18A	0.449	0.493	0.523	[449, 102, 449]	[493, 139, 368]	[523, 64, 413]
4	19	0.145	0.644	0.134	[580, 60, 3360]	[2576, 588, 836]	[536, 68, 3396]
4	19A	0.521	0.657	0.571	[521, 87, 392]	[657, 137, 206]	[571, 76, 353]
4	20	0.083	0.796	0.065	[332, 56, 3612]	[3184, 460, 356]	[260, 40, 3700]
4	20A	0.532	0.786	0.56	[532, 88, 380]	[786, 104, 110]	[560, 78, 362]
5	2A	0.485	0.416	0.54	[485, 98, 417]	[416, 0, 584]	[540, 38, 422]
5	3A	0.449	0.436	0.49	[449, 98, 453]	[436, 0, 564]	[490, 47, 463]
5	4	0.412	0.413	0.424	[412, 58, 530]	[413, 0, 587]	[424, 0, 576]
5	4A	0.456	0.422	0.517	[456, 74, 470]	[422, 0, 578]	[517, 44, 439]
5	5	0.403	0.423	0.414	[403, 64, 533]	[423, 0, 577]	[414, 0, 586]
5	5A	0.455	0.412	0.509	[455, 68, 477]	[412, 0, 588]	[509, 49, 442]
5	6	0.343	0.431	0.421	[685, 136, 1179]	[862, 0, 1138]	[843, 20, 1137]
5	6A	0.386	0.444	0.54	[386, 76, 538]	[444, 0, 556]	[540, 48, 412]
5	7	0.417	0.409	0.44	[834, 153, 1013]	[819, 0, 1181]	[880, 81, 1039]
5	7A	0.461	0.449	0.528	[461, 91, 448]	[449, 120, 431]	[528, 58, 414]
5	8	0.443	0.412	0.474	[1330, 264, 1406]	[1237, 0, 1763]	[1423, 167, 1410]
5	8A	0.499	0.524	0.556	[499, 105, 396]	[524, 125, 351]	[556, 74, 370]
5	9	0.489	0.417	0.528	[1466, 267, 1267]	[1252, 0, 1748]	[1584, 217, 1199]
5	9A	0.558	0.643	0.561	[558, 95, 347]	[643, 128, 229]	[561, 65, 374]
5	10	0.546	0.416	0.574	[2183, 414, 1403]	[1666, 0, 2334]	[2295, 309, 1396]
5	10A	0.559	0.771	0.601	[559, 76, 365]	[771, 101, 128]	[601, 68, 331]
5	11	0.579	0.413	0.617	[2316, 370, 1314]	[1653, 0, 2347]	[2466, 291, 1243]
5	11A	0.567	0.87	0.641	[2268, 380, 1352]	[3480, 520, 0]	[2564, 236, 1200]
5	12	0.341	0.403	0.369	[2731, 521, 4748]	[3227, 0, 4773]	[2955, 400, 4645]
5	12A	0.487	0.426	0.484	[487, 103, 410]	[426, 0, 574]	[484, 44, 472]
5	13	0.321	0.4	0.348	[2247, 406, 4347]	[2802, 0, 4198]	[2436, 311, 4253]
5	13A	0.501	0.406	0.502	[501, 74, 425]	[406, 0, 594]	[502, 52, 446]
5	14	0.302	0.422	0.328	[2115, 370, 4515]	[2953, 0, 4047]	[2297, 299, 4404]
5	14A	0.464	0.395	0.517	[464, 82, 454]	[395, 0, 605]	[517, 34, 449]
5	15	0.281	0.399	0.315	[1683, 301, 4016]	[2391, 0, 3609]	[1889, 282, 3829]
