dealer	player	hit	stay	double	hit	stay	double
2	17A	0.407	0.355	0.457	[407, 92, 501]	[355, 161, 484]	[457, 79, 464]
2	18	0.185	0.484	0.174	[926, 140, 3934]	[2421, 650, 1929]	[869, 114, 4017]
2	18A	0.445	0.488	0.511	[445, 97, 458]	[488, 136, 376]	[511, 94, 395]
2	19	0.145	0.636	0.12	[580, 48, 3372]	[2544, 484, 972]	[480, 72, 3448]
2	19A	0.478	0.612	0.519	[478, 103, 419]	[612, 143, 245]	[519, 80, 401]
2	20	0.067	0.74	0.073	[268, 48, 3684]	[2960, 548, 492]	[292, 44, 3664]
2	20A	0.494	0.77	0.553	[494, 94, 412]	[770, 111, 119]	[553, 79, 368]
3	2A	0.473	0.374	0.456	[473, 111, 416]	[374, 0, 626]	[456, 59, 485]
3	3A	0.486	0.408	0.484	[486, 96, 418]	[408, 0, 592]	[484, 44, 472]
3	4	0.361	0.396	0.373	[361, 73, 566]	[396, 0, 604]	[373, 0, 627]
3	4A	0.465	0.371	0.471	[465, 75, 460]	[371, 0, 629]	[471, 51, 478]
3	5	0.352	0.388	0.375	[352, 63, 585]	[388, 0, 612]	[375, 0, 625]
3	5A	0.426	0.372	0.471	[426, 80, 494]	[372, 0, 628]	[471, 48, 481]
3	6	0.349	0.368	0.373	[699, 150, 1151]	[736, 0, 1264]	[747, 14, 1239]
3	6A	0.386	0.385	0.476	[386, 91, 523]	[385, 0, 615]	[476, 41, 483]
3	7	0.357	0.383	0.395	[714, 194, 1092]	[766, 0, 1234]	[789, 97, 1114]
3	7A	0.443	0.366	0.476	[443, 97, 460]	[366, 128, 506]	[476, 96, 428]
3	8	0.436	0.375	0.432	[1307, 303, 1390]	[1125, 0, 1875]	[1297, 180, 1523]
3	8A	0.492	0.527	0.514	[492, 91, 417]	[527, 101, 372]	[514, 67, 419]
3	9	0.479	0.381	0.506	[1437, 289, 1274]	[1144, 0, 1856]	[1519, 195, 1286]
3	9A	0.471	0.634	0.514	[471, 96, 433]	[634, 124, 242]	[514, 86, 400]
3	10	0.519	0.373	0.575	[2077, 398, 1525]	[1493, 0, 2507]	[2301, 310, 1389]
3	10A	0.523	0.767	0.568	[523, 106, 371]	[767, 112, 121]	[568, 63, 369]
3	11	0.555	0.373	0.601	[2221, 370, 1409]	[1494, 0, 2506]	[2404, 299, 1297]
3	11A	0.553	0.879	0.596	[2212, 380, 1408]	[3516, 484, 0]	[2384, 244, 1372]
3	12	0.337	0.38	0.37	[2692, 487, 4821]	[3038, 0, 4962]	[2959, 329, 4712]
3	12A	0.478	0.369	0.523	[478, 111, 411]	[369, 0, 631]	[523, 47, 430]
3	13	0.3	0.374	0.322	[2103, 435, 4462]	[2618, 0, 4382]	[2251, 303, 4446]
3	13A	0.47	0.372	0.471	[470, 88, 442]	[372, 0, 628]	[471, 40, 489]
3	14	0.283	0.391	0.314	[1984, 406, 4610]	[2736, 0, 4264]	[2201, 381, 4418]
3	14A	0.432	0.382	0.459	[432, 94, 474]	[382, 0, 618]	[459, 48, 493]
3	15	0.267	0.362	0.262	[1601, 322, 4077]	[2172, 0, 3828]	[1572, 264, 4164]
3	15A	0.432	0.385	0.493	[432, 89, 479]	[385, 0, 615]	[493, 47, 460]
3	16	0.245	0.374	0.245	[1469, 206, 4325]	[2244, 0, 3756]	[1471, 263, 4266]
3	16A	0.391	0.352	0.5	[391, 71, 538]	[352, 0, 648]	[500, 41, 459]
3	17	0.214	0.386	0.231	[1068, 224, 3708]	[1930, 662, 2408]	[1156, 151, 3693]
3	17A	0.495	0.391	0.487	[495, 82, 423]	[391, 143, 466]	[487, 76, 437]
3	18	0.161	0.48	0.177	[807, 132, 4061]	[2398, 638, 1964]	[884, 140, 3976]
3	18A	0.484	0.487	0.491	[484, 96, 420]	[487, 125, 388]	[491, 73, 436]
3	19	0.129	0.647	0.11	[516, 44, 3440]	[2588, 496, 916]	[440, 76, 3484]
3	19A	0.521	0.634	0.556	[521, 102, 377]	[634, 117, 249]	[556, 74, 370]
3	20	0.079	0.787	0.064	[316, 44, 3640]	[3148, 464, 388]	[256, 56, 3688]
3	20A	0.547	0.794	0.593	[547, 97, 356]	[794, 109, 97]	[593, 67, 340]
4	2A	0.485	0.41	0.483	[485, 99, 416]	[410, 0, 590]	[483, 55, 462]
4	3A	0.46	0.377	0.472	[460, 83, 457]	[377, 0, 623]	[472, 49, 479]
4	4	0.4	0.397	0.394	[400, 77, 523]	[397, 0, 603]	[394, 0, 606]
4	4A	0.454	0.404	0.507	[454, 93, 453]	[404, 0, 596]	[507, 47, 446]
4	5	0.346	0.405	0.374	[346, 68, 586]	[405, 0, 595]	[374, 0, 626]
4	5A	0.422	0.386	0.491	[422, 84, 494]	[386, 0, 614]	[491, 49, 460]
4	6	0.35	0.396	0.39	[700, 133, 1167]	[791, 0, 1209]	[780, 21, 1199]
4	6A	0.42	0.391	0.477	[420, 72, 508]	[391, 0, 609]	[477, 43, 480]
4	7	0.397	0.409	0.405	[794, 173, 1033]	[818, 0, 1182]	[809, 99, 1092]
4	7A	0.439	0.411	0.462	[439, 86, 475]	[411, 134, 455]	[462, 86, 452]
4	8	0.441	0.389	0.46	[1322, 272, 1406]	[1167, 0, 1833]	[1379, 178, 1443]
4	8A	0.494	0.548	0.513	[494, 92, 414]	[548, 127, 325]	[513, 77, 410]
4	9	0.458	0.377	0.516	[1374, 288, 1338]	[1130, 0, 1870]	[1549, 197, 1254]
4	9A	0.483	0.659	0.559	[483, 106, 411]	[659, 125, 216]	[559, 76, 365]
4	10	0.542	0.401	0.589	[2170, 370, 1460]	[1604, 0, 2396]	[2355, 281, 1364]
4	10A	0.542	0.786	0.586	[542, 90, 368]	[786, 110, 104]	[586, 62, 352]
4	11	0.568	0.396	0.611	[2273, 366, 1361]	[1584, 0, 2416]	[2445, 286, 1269]
4	11A	0.554	0.888	0.625	[2216, 376, 1408]	[3552, 448, 0]	[2500, 276, 1224]
4	12	0.346	0.408	0.358	[2768, 515, 4717]	[3263, 0, 4737]	[2866, 383, 4751]
4	12A	0.476	0.39	0.466	[476, 95, 429]	[390, 0, 610]	[466, 52, 482]
4	13	0.32	0.393	0.331	[2240, 427, 4333]	[2754, 0, 4246]	[2316, 322, 4362]
4	13A	0.49	0.402	0.487	[490, 97, 413]	[402, 0, 598]	[487, 38, 475]
4	14	0.296	0.395	0.31	[2069, 360, 4571]	[2762, 0, 4238]	[2172, 295, 4533]
4	14A	0.455	0.38	0.468	[455, 81, 464]	[380, 0, 620]	[468, 47, 485]
4	15	0.281	0.386	0.278	[1688, 283, 4029]	[2314, 0, 3686]	[1669, 300, 4031]
4	15A	0.426	0.389	0.49	[426, 89, 485]	[389, 0, 611]	[490, 41, 469]
4	16	0.259	0.386	0.239	[1551, 273, 4176]	[2315, 0, 3685]	[1432, 237, 4331]
4	16A	0.409	0.389	0.485	[409, 87, 504]	[389, 0, 611]	[485, 46, 469]
4	17	0.213	0.409	0.212	[1065, 207, 3728]	[2043, 634, 2323]	[1058, 192, 3750]
4	17A	0.437	0.402	0.472	[437, 89, 474]	[402, 125, 473]	[472, 73, 455]
4	18	0.172	0.525	0.173	[861, 172, 3967]	[2624, 675, 1701]	[863, 129, 4008]
4	18A	0.503	0.538	0.525	[503, 91, 406]	[538, 124, 338]	[525, 73, 402]
4	19	0.126	0.647	0.129	[504, 64, 3432]	[2588, 496, 916]	[516, 52, 3432]
4	19A	0.49	0.663	0.571	[490, 92, 418]	[663, 116, 221]	[571, 79, 350]
4	20	0.059	0.783	0.06	[236, 48, 3716]	[3132, 420, 448]	[240, 64, 3696]
4	20A	0.525	0.77	0.613	[525, 106, 369]	[770, 122, 108]	[613, 63, 324]
5	2A	0.489	0.439	0.529	[489, 106, 405]	[439, 0, 561]	[529, 37, 434]
5	3A	0.469	0.426	0.524	[469, 83, 448]	[426, 0, 574]	[524, 43, 433]
5	4	0.361	0.38	0.39	[361, 73, 566]	[380, 0, 620]	[390, 0, 610]
5	4A	0.462	0.424	0.512	[462, 80, 458]	[424, 0, 576]	[512, 40, 448]
5	5	0.393	0.401	0.417	[393, 71, 536]	[401, 0, 599]	[417, 0, 583]
5	5A	0.44	0.423	0.506	[440, 89, 471]	[423, 0, 577]	[506, 45, 449]
5	6	0.362	0.428	0.43	[724, 132, 1144]	[857, 0, 1143]	[860, 24, 1116]
5	6A	0.443	0.422	0.513	[443, 95, 462]	[422, 0, 578]	[513, 44, 443]
5	7	0.406	0.424	0.434	[813, 164, 1023]	[848, 0, 1152]	[869, 89, 1042]
5	7A	0.497	0.414	0.525	[497, 85, 418]	[414, 149, 437]	[525, 61, 414]
5	8	0.444	0.43	0.479	[1332, 281, 1387]	[1291, 0, 1709]	[1436, 181, 1383]
5	8A	0.48	0.565	0.587	[480, 98, 422]	[565, 112, 323]	[587, 63, 350]
5	9	0.495	0.421	0.549	[1484, 250, 1266]	[1264, 0, 1736]	[1646, 180, 1174]
5	9A	0.529	0.619	0.562	[529, 74, 397]	[619, 133, 248]	[562, 82, 356]
5	10	0.559	0.426	0.59	[2238, 345, 1417]	[1705, 0, 2295]	[2358, 319, 1323]
5	10A	0.564	0.78	0.583	[564, 81, 355]	[780, 127, 93]	[583, 68, 349]
5	11	0.572	0.412	0.601	[2286, 343, 1371]	[1649, 0, 2351]	[2405, 283, 1312]
5	11A	0.539	0.884	0.652	[2156, 380, 1464]	[3536, 464, 0]	[2608, 308, 1084]
5	12	0.336	0.428	0.374	[2687, 477, 4836]	[3423, 0, 4577]	[2994, 378, 4628]
5	12A	0.509	0.401	0.518	[509, 101, 390]	[401, 0, 599]	[518, 41, 441]
5	13	0.314	0.402	0.357	[2197, 412, 4391]	[2811, 0, 4189]	[2500, 374, 4126]
5	13A	0.457	0.433	0.524	[457, 84, 459]	[433, 0, 567]	[524, 42, 434]
5	14	0.291	0.39	0.329	[2036, 401, 4563]	[2732, 0, 4268]	[2300, 321, 4379]
5	14A	0.443	0.426	0.53	[443, 78, 479]	[426, 0, 574]	[530, 49, 421]
5	15	0.287	0.416	0.287	[1723, 266, 4011]	[2497, 0, 3503]	[1720, 233, 4047]
5	15A	0.458	0.423	0.509	[458, 80, 462]	[423, 0, 577]	[509, 40, 451]
5	16	0.256	0.413	0.25	[1534, 292, 4174]	[2477, 0, 3523]	[1501, 270, 4229]
5	16A	0.434	0.433	0.53	[434, 68, 498]	[433, 0, 567]	[530, 39, 431]
5	17	0.224	0.416	0.223	[1118, 200, 3682]	[2080, 623, 2297]	[1115, 174, 3711]
5	17A	0.482	0.436	0.487	[482, 79, 439]	[436, 120, 444]	[487, 86, 427]
5	18	0.183	0.552	0.174	[913, 106, 3981]	[2758, 629, 1613]	[869, 151, 3980]
5	18A	0.484	0.521	0.521	[484, 101, 415]	[521, 155, 324]	[521, 88, 391]
5	19	0.149	0.665	0.118	[596, 88, 3316]	[2660, 476, 864]	[472, 68, 3460]
5	19A	0.495	0.652	0.58	[495, 109, 396]	[652, 131, 217]	[580, 68, 352]
5	20	0.057	0.779	0.06	[228, 20, 3752]	[3116, 472, 412]	[240, 48, 3712]
5	20A	0.557	0.76	0.606	[557, 91, 352]	[760, 129, 111]	[606, 76, 318]
