dealer	player	hit	stay	double	hit	stay	double
1	2A	0.301	0.119	0.202	[301, 135, 564]	[119, 0, 881]	[202, 83, 715]
1	3A	0.296	0.119	0.218	[296, 123, 581]	[119, 0, 881]	[218, 72, 710]
1	4	0.23	0.109	0.109	[230, 111, 659]	[109, 0, 891]	[109, 0, 891]
1	4A	0.265	0.102	0.233	[265, 117, 618]	[102, 0, 898]	[233, 77, 690]
1	5	0.23	0.102	0.1	[230, 110, 660]	[102, 0, 898]	[100, 0, 900]
1	5A	0.246	0.132	0.216	[246, 126, 628]	[132, 0, 868]	[216, 62, 722]
1	6	0.198	0.112	0.132	[396, 202, 1402]	[223, 0, 1777]	[264, 27, 1709]
1	6A	0.222	0.102	0.225	[222, 115, 663]	[102, 0, 898]	[225, 71, 704]
1	7	0.2	0.118	0.131	[400, 238, 1362]	[236, 0, 1764]	[261, 102, 1637]
1	7A	0.216	0.092	0.208	[216, 134, 650]	[92, 124, 784]	[208, 85, 707]
1	8	0.227	0.108	0.177	[681, 357, 1962]	[323, 0, 2677]	[532, 168, 2300]
1	8A	0.25	0.229	0.232	[250, 130, 620]	[229, 143, 628]	[232, 96, 672]
1	9	0.268	0.111	0.233	[805, 362, 1833]	[333, 0, 2667]	[699, 203, 2098]
1	9A	0.311	0.381	0.273	[311, 125, 564]	[381, 124, 495]	[273, 112, 615]
1	10	0.329	0.11	0.299	[1315, 479, 2206]	[439, 0, 3561]	[1196, 397, 2407]
1	10A	0.318	0.496	0.324	[318, 127, 555]	[496, 150, 354]	[324, 112, 564]
1	11	0.333	0.128	0.338	[1333, 722, 1945]	[513, 0, 3487]	[1351, 591, 2058]
1	11A	0.378	0.661	0.34	[1512, 680, 1808]	[2644, 1356, 0]	[1360, 592, 2048]
1	12	0.198	0.118	0.186	[1585, 692, 5723]	[941, 0, 7059]	[1491, 533, 5976]
1	12A	0.259	0.118	0.229	[259, 146, 595]	[118, 0, 882]	[229, 64, 707]
1	13	0.191	0.113	0.177	[1335, 542, 5123]	[791, 0, 6209]	[1238, 467, 5295]
1	13A	0.296	0.114	0.227	[296, 128, 576]	[114, 0, 886]	[227, 64, 709]
1	14	0.175	0.11	0.161	[1223, 483, 5294]	[767, 0, 6233]	[1128, 495, 5377]
1	14A	0.283	0.116	0.212	[283, 125, 592]	[116, 0, 884]	[212, 63, 725]
1	15	0.155	0.118	0.154	[928, 457, 4615]	[708, 0, 5292]	[925, 342, 4733]
1	15A	0.253	0.108	0.19	[253, 117, 630]	[108, 0, 892]	[190, 76, 734]
1	16	0.148	0.11	0.152	[889, 382, 4729]	[657, 0, 5343]	[913, 414, 4673]
1	16A	0.242	0.116	0.208	[242, 117, 641]	[116, 0, 884]	[208, 78, 714]
1	17	0.143	0.118	0.151	[714, 329, 3957]	[590, 628, 3782]	[757, 227, 4016]
1	17A	0.225	0.113	0.214	[225, 125, 650]	[113, 119, 768]	[214, 102, 684]
1	18	0.121	0.249	0.125	[603, 254, 4143]	[1244, 629, 3127]	[624, 224, 4152]
1	18A	0.252	0.26	0.255	[252, 117, 631]	[260, 131, 609]	[255, 110, 635]
1	19	0.075	0.382	0.079	[300, 144, 3556]	[1528, 556, 1916]	[316, 132, 3552]
1	19A	0.283	0.369	0.261	[283, 136, 581]	[369, 130, 501]	[261, 105, 634]
1	20	0.036	0.499	0.055	[144, 128, 3728]	[1996, 528, 1476]	[220, 104, 3676]
1	20A	0.316	0.513	0.321	[316, 122, 562]	[513, 136, 351]	[321, 91, 588]
2	2A	0.447	0.379	0.442	[447, 111, 442]	[379, 0, 621]	[442, 54, 504]
2	3A	0.464	0.327	0.465	[464, 95, 441]	[327, 0, 673]	[465, 53, 482]
2	4	0.37	0.363	0.341	[370, 96, 534]	[363, 0, 637]	[341, 0, 659]
2	4A	0.433	0.363	0.489	[433, 89, 478]	[363, 0, 637]	[489, 46, 465]
2	5	0.347	0.335	0.362	[347, 79, 574]	[335, 0, 665]	[362, 0, 638]
2	5A	0.417	0.338	0.43	[417, 90, 493]	[338, 0, 662]	[430, 48, 522]
2	6	0.337	0.352	0.35	[674, 152, 1174]	[705, 0, 1295]	[701, 27, 1272]
2	6A	0.404	0.336	0.44	[404, 96, 500]	[336, 0, 664]	[440, 41, 519]
2	7	0.371	0.332	0.37	[743, 187, 1070]	[663, 0, 1337]	[740, 112, 1148]
2	7A	0.433	0.352	0.433	[433, 94, 473]	[352, 126, 522]	[433, 75, 492]
2	8	0.403	0.358	0.412	[1208, 332, 1460]	[1073, 0, 1927]	[1235, 186, 1579]
2	8A	0.428	0.499	0.482	[428, 107, 465]	[499, 139, 362]	[482, 72, 446]
2	9	0.463	0.355	0.478	[1388, 301, 1311]	[1065, 0, 1935]	[1433, 204, 1363]
2	9A	0.491	0.629	0.53	[491, 103, 406]	[629, 113, 258]	[530, 76, 394]
2	10	0.515	0.343	0.555	[2062, 397, 1541]	[1371, 0, 2629]	[2222, 312, 1466]
2	10A	0.512	0.762	0.555	[512, 108, 380]	[762, 129, 109]	[555, 70, 375]
2	11	0.548	0.35	0.577	[2193, 383, 1424]	[1402, 0, 2598]	[2308, 333, 1359]
2	11A	0.566	0.886	0.547	[2264, 408, 1328]	[3544, 456, 0]	[2188, 328, 1484]
