dealer	player	hit	stay	double	hit	stay	double
1	2A	0.3	0.114	0.221	[300, 118, 582]	[114, 0, 886]	[221, 64, 715]
1	3A	0.278	0.111	0.223	[278, 122, 600]	[111, 0, 889]	[223, 62, 715]
1	4	0.197	0.116	0.1	[197, 113, 690]	[116, 0, 884]	[100, 0, 900]
1	4A	0.272	0.11	0.215	[272, 137, 591]	[110, 0, 890]	[215, 82, 703]
1	5	0.208	0.116	0.114	[208, 116, 676]	[116, 0, 884]	[114, 0, 886]
1	5A	0.24	0.115	0.211	[240, 118, 642]	[115, 0, 885]	[211, 69, 720]
1	6	0.2	0.117	0.13	[399, 219, 1382]	[235, 0, 1765]	[259, 14, 1727]
1	6A	0.238	0.11	0.211	[238, 124, 638]	[110, 0, 890]	[211, 71, 718]
1	7	0.202	0.121	0.137	[404, 233, 1363]	[243, 0, 1757]	[274, 102, 1624]
1	7A	0.262	0.121	0.232	[262, 127, 611]	[121, 130, 749]	[232, 94, 674]
1	8	0.236	0.115	0.174	[708, 345, 1947]	[344, 0, 2656]	[521, 171, 2308]
1	8A	0.265	0.253	0.236	[265, 134, 601]	[253, 155, 592]	[236, 92, 672]
1	9	0.255	0.104	0.237	[766, 341, 1893]	[313, 0, 2687]	[711, 201, 2088]
1	9A	0.299	0.356	0.273	[299, 112, 589]	[356, 136, 508]	[273, 92, 635]
1	10	0.34	0.111	0.308	[1358, 504, 2138]	[444, 0, 3556]	[1233, 376, 2391]
1	10A	0.322	0.514	0.324	[322, 110, 568]	[514, 122, 364]	[324, 89, 587]
1	11	0.355	0.123	0.335	[1421, 756, 1823]	[491, 0, 3509]	[1339, 635, 2026]
1	11A	0.367	0.668	0.352	[1468, 664, 1868]	[2672, 1328, 0]	[1408, 556, 2036]
1	12	0.196	0.114	0.17	[1568, 684, 5748]	[914, 0, 7086]	[1362, 605, 6033]
1	12A	0.268	0.105	0.217	[268, 140, 592]	[105, 0, 895]	[217, 83, 700]
1	13	0.179	0.113	0.165	[1256, 580, 5164]	[790, 0, 6210]	[1153, 502, 5345]
1	13A	0.271	0.116	0.208	[271, 146, 583]	[116, 0, 884]	[208, 57, 735]
1	14	0.166	0.123	0.165	[1161, 520, 5319]	[859, 0, 6141]	[1157, 460, 5383]
1	14A	0.253	0.113	0.228	[253, 117, 630]	[113, 0, 887]	[228, 69, 703]
1	15	0.155	0.11	0.147	[932, 397, 4671]	[658, 0, 5342]	[885, 444, 4671]
1	15A	0.253	0.108	0.242	[253, 118, 629]	[108, 0, 892]	[242, 78, 680]
1	16	0.134	0.122	0.14	[805, 380, 4815]	[732, 0, 5268]	[842, 407, 4751]
1	16A	0.231	0.112	0.23	[231, 128, 641]	[112, 0, 888]	[230, 63, 707]
1	17	0.139	0.129	0.124	[694, 244, 4062]	[645, 559, 3796]	[620, 309, 4071]
1	17A	0.232	0.107	0.208	[232, 121, 647]	[107, 130, 763]	[208, 85, 707]
1	18	0.113	0.235	0.131	[563, 220, 4217]	[1177, 688, 3135]	[657, 220, 4123]
1	18A	0.257	0.252	0.247	[257, 129, 614]	[252, 136, 612]	[247, 86, 667]
1	19	0.072	0.363	0.104	[288, 180, 3532]	[1452, 528, 2020]	[416, 136, 3448]
