dealer	player	hit	stay	double	hit	stay	double
1	2A	0.28	0.129	0.232	[280, 137, 583]	[129, 0, 871]	[232, 79, 689]
1	3A	0.246	0.112	0.204	[246, 133, 621]	[112, 0, 888]	[204, 77, 719]
1	4	0.254	0.119	0.103	[254, 101, 645]	[119, 0, 881]	[103, 0, 897]
1	4A	0.27	0.117	0.213	[270, 143, 587]	[117, 0, 883]	[213, 78, 709]
1	5	0.215	0.125	0.111	[215, 96, 689]	[125, 0, 875]	[111, 0, 889]
1	5A	0.254	0.116	0.214	[254, 129, 617]	[116, 0, 884]	[214, 71, 715]
1	6	0.199	0.112	0.109	[397, 205, 1398]	[224, 0, 1776]	[218, 18, 1764]
1	6A	0.269	0.122	0.235	[269, 98, 633]	[122, 0, 878]	[235, 67, 698]
1	7	0.191	0.117	0.133	[382, 226, 1392]	[234, 0, 1766]	[265, 84, 1651]
1	7A	0.232	0.093	0.245	[232, 113, 655]	[93, 128, 779]	[245, 97, 658]
1	8	0.234	0.124	0.165	[701, 348, 1951]	[371, 0, 2629]	[495, 169, 2336]
1	8A	0.267	0.246	0.234	[267, 121, 612]	[246, 137, 617]	[234, 84, 682]
1	9	0.278	0.113	0.221	[834, 327, 1839]	[339, 0, 2661]	[664, 182, 2154]
1	9A	0.297	0.371	0.259	[297, 116, 587]	[371, 143, 486]	[259, 97, 644]
1	10	0.336	0.122	0.302	[1345, 508, 2147]	[489, 0, 3511]	[1210, 435, 2355]
1	10A	0.337	0.495	0.28	[337, 129, 534]	[495, 148, 357]	[280, 104, 616]
1	11	0.373	0.12	0.338	[1494, 698, 1808]	[479, 0, 3521]	[1351, 628, 2021]
1	11A	0.357	0.669	0.346	[1428, 780, 1792]	[2676, 1324, 0]	[1384, 568, 2048]
1	12	0.197	0.103	0.169	[1576, 740, 5684]	[826, 0, 7174]	[1349, 586, 6065]
1	12A	0.29	0.12	0.243	[290, 131, 579]	[120, 0, 880]	[243, 66, 691]
1	13	0.18	0.121	0.174	[1259, 630, 5111]	[845, 0, 6155]	[1215, 513, 5272]
1	13A	0.291	0.113	0.221	[291, 120, 589]	[113, 0, 887]	[221, 68, 711]
1	14	0.151	0.111	0.173	[1056, 590, 5354]	[776, 0, 6224]	[1208, 504, 5288]
1	14A	0.262	0.118	0.202	[262, 113, 625]	[118, 0, 882]	[202, 65, 733]
1	15	0.148	0.122	0.15	[888, 484, 4628]	[730, 0, 5270]	[901, 408, 4691]
1	15A	0.264	0.121	0.217	[264, 113, 623]	[121, 0, 879]	[217, 68, 715]
1	16	0.136	0.121	0.148	[814, 456, 4730]	[726, 0, 5274]	[890, 410, 4700]
1	16A	0.255	0.113	0.216	[255, 120, 625]	[113, 0, 887]	[216, 72, 712]
1	17	0.137	0.121	0.13	[683, 314, 4003]	[603, 656, 3741]	[652, 295, 4053]
