dealer	player	hit	stay	double	hit	stay	double
1	2A	0.273	0.113	0.203	[273, 132, 595]	[113, 0, 887]	[203, 71, 726]
1	3A	0.283	0.117	0.223	[283, 106, 611]	[117, 0, 883]	[223, 67, 710]
1	4	0.237	0.131	0.106	[237, 96, 667]	[131, 0, 869]	[106, 0, 894]
1	4A	0.24	0.108	0.213	[240, 126, 634]	[108, 0, 892]	[213, 68, 719]
1	5	0.222	0.115	0.119	[222, 107, 671]	[115, 0, 885]	[119, 0, 881]
1	5A	0.26	0.099	0.218	[260, 106, 634]	[99, 0, 901]	[218, 66, 716]
1	6	0.202	0.12	0.113	[404, 196, 1400]	[241, 0, 1759]	[225, 13, 1762]
1	6A	0.227	0.116	0.201	[227, 119, 654]	[116, 0, 884]	[201, 68, 731]
1	7	0.189	0.119	0.119	[378, 232, 1390]	[238, 0, 1762]	[239, 105, 1656]
1	7A	0.264	0.131	0.206	[264, 116, 620]	[131, 111, 758]	[206, 98, 696]
1	8	0.221	0.112	0.172	[663, 363, 1974]	[335, 0, 2665]	[517, 198, 2285]
1	8A	0.239	0.236	0.24	[239, 131, 630]	[236, 130, 634]	[240, 105, 655]
1	9	0.27	0.112	0.228	[811, 359, 1830]	[337, 0, 2663]	[685, 218, 2097]
1	9A	0.303	0.38	0.265	[303, 124, 573]	[380, 122, 498]	[265, 101, 634]
1	10	0.316	0.116	0.299	[1265, 502, 2233]	[463, 0, 3537]	[1195, 394, 2411]
1	10A	0.31	0.523	0.304	[310, 138, 552]	[523, 136, 341]	[304, 119, 577]
1	11	0.369	0.115	0.326	[1478, 772, 1750]	[459, 0, 3541]	[1302, 617, 2081]
1	11A	0.345	0.617	0.314	[1380, 684, 1936]	[2468, 1532, 0]	[1256, 672, 2072]
1	12	0.187	0.109	0.172	[1499, 695, 5806]	[869, 0, 7131]	[1380, 523, 6097]
1	12A	0.269	0.117	0.205	[269, 125, 606]	[117, 0, 883]	[205, 68, 727]
1	13	0.186	0.102	0.167	[1301, 584, 5115]	[716, 0, 6284]	[1167, 419, 5414]
1	13A	0.282	0.117	0.207	[282, 141, 577]	[117, 0, 883]	[207, 87, 706]
1	14	0.177	0.118	0.147	[1240, 545, 5215]	[826, 0, 6174]	[1031, 480, 5489]
1	14A	0.26	0.116	0.21	[260, 135, 605]	[116, 0, 884]	[210, 64, 726]
1	15	0.158	0.119	0.149	[948, 398, 4654]	[714, 0, 5286]	[895, 406, 4699]
1	15A	0.262	0.113	0.19	[262, 122, 616]	[113, 0, 887]	[190, 59, 751]
1	16	0.142	0.11	0.125	[850, 397, 4753]	[659, 0, 5341]	[749, 440, 4811]
1	16A	0.258	0.111	0.198	[258, 132, 610]	[111, 0, 889]	[198, 69, 733]
1	17	0.139	0.124	0.137	[695, 293, 4012]	[622, 737, 3641]	[687, 304, 4009]
1	17A	0.267	0.109	0.204	[267, 127, 606]	[109, 133, 758]	[204, 92, 704]
1	18	0.121	0.234	0.111	[607, 185, 4208]	[1168, 622, 3210]	[555, 199, 4246]
1	18A	0.259	0.244	0.214	[259, 131, 610]	[244, 130, 626]	[214, 104, 682]
