dealer	player	hit	stay	double	hit	stay	double
1	2A	0.281	0.123	0.21	[281, 128, 591]	[123, 0, 877]	[210, 67, 723]
1	3A	0.277	0.133	0.216	[277, 129, 594]	[133, 0, 867]	[216, 76, 708]
1	4	0.234	0.103	0.123	[234, 117, 649]	[103, 0, 897]	[123, 0, 877]
1	4A	0.289	0.118	0.207	[289, 125, 586]	[118, 0, 882]	[207, 61, 732]
1	5	0.206	0.125	0.111	[206, 100, 694]	[125, 0, 875]	[111, 0, 889]
1	5A	0.257	0.092	0.226	[257, 102, 641]	[92, 0, 908]	[226, 71, 703]
1	6	0.203	0.105	0.117	[406, 211, 1383]	[210, 0, 1790]	[235, 23, 1742]
1	6A	0.253	0.097	0.216	[253, 123, 624]	[97, 0, 903]	[216, 64, 720]
1	7	0.205	0.106	0.119	[410, 229, 1361]	[212, 0, 1788]	[238, 103, 1659]
1	7A	0.267	0.106	0.227	[267, 127, 606]	[106, 135, 759]	[227, 100, 673]
1	8	0.224	0.111	0.18	[673, 365, 1962]	[334, 0, 2666]	[540, 190, 2270]
1	8A	0.268	0.244	0.241	[268, 138, 594]	[244, 115, 641]	[241, 80, 679]
1	9	0.277	0.12	0.229	[831, 352, 1817]	[359, 0, 2641]	[688, 226, 2086]
1	9A	0.296	0.384	0.301	[296, 126, 578]	[384, 132, 484]	[301, 87, 612]
1	10	0.311	0.111	0.297	[1246, 543, 2211]	[444, 0, 3556]	[1188, 397, 2415]
1	10A	0.34	0.51	0.295	[340, 128, 532]	[510, 111, 379]	[295, 82, 623]
1	11	0.367	0.114	0.343	[1467, 725, 1808]	[455, 0, 3545]	[1370, 613, 2017]
1	11A	0.356	0.639	0.373	[1424, 684, 1892]	[2556, 1444, 0]	[1492, 564, 1944]
1	12	0.202	0.107	0.173	[1619, 739, 5642]	[854, 0, 7146]	[1383, 519, 6098]
1	12A	0.256	0.104	0.226	[256, 141, 603]	[104, 0, 896]	[226, 68, 706]
1	13	0.168	0.116	0.172	[1177, 599, 5224]	[814, 0, 6186]	[1205, 484, 5311]
1	13A	0.292	0.11	0.207	[292, 132, 576]	[110, 0, 890]	[207, 73, 720]
1	14	0.154	0.11	0.165	[1078, 515, 5407]	[770, 0, 6230]	[1153, 475, 5372]
1	14A	0.261	0.114	0.219	[261, 139, 600]	[114, 0, 886]	[219, 71, 710]
1	15	0.161	0.112	0.156	[967, 483, 4550]	[671, 0, 5329]	[934, 420, 4646]
1	15A	0.245	0.126	0.208	[245, 132, 623]	[126, 0, 874]	[208, 76, 716]
1	16	0.15	0.122	0.153	[898, 491, 4611]	[732, 0, 5268]	[920, 439, 4641]
1	16A	0.232	0.11	0.201	[232, 129, 639]	[110, 0, 890]	[201, 75, 724]
1	17	0.118	0.108	0.123	[592, 256, 4152]	[539, 723, 3738]	[615, 284, 4101]
1	17A	0.234	0.114	0.213	[234, 112, 654]	[114, 145, 741]	[213, 110, 677]
1	18	0.127	0.255	0.12	[636, 219, 4145]	[1277, 608, 3115]	[601, 240, 4159]
1	18A	0.281	0.242	0.239	[281, 135, 584]	[242, 128, 630]	[239, 103, 658]
1	19	0.087	0.393	0.095	[348, 156, 3496]	[1572, 548, 1880]	[380, 136, 3484]
1	19A	0.303	0.415	0.264	[303, 129, 568]	[415, 123, 462]	[264, 103, 633]
1	20	0.046	0.498	0.052	[184, 108, 3708]	[1992, 564, 1444]	[208, 104, 3688]
1	20A	0.341	0.524	0.307	[341, 115, 544]	[524, 133, 343]	[307, 95, 598]
2	2A	0.471	0.335	0.456	[471, 95, 434]	[335, 0, 665]	[456, 56, 488]
2	3A	0.419	0.338	0.45	[419, 101, 480]	[338, 0, 662]	[450, 49, 501]
2	4	0.379	0.341	0.353	[379, 72, 549]	[341, 0, 659]	[353, 0, 647]
2	4A	0.435	0.365	0.457	[435, 81, 484]	[365, 0, 635]	[457, 43, 500]
2	5	0.361	0.373	0.343	[361, 71, 568]	[373, 0, 627]	[343, 0, 657]
2	5A	0.404	0.351	0.462	[404, 87, 509]	[351, 0, 649]	[462, 45, 493]
2	6	0.346	0.348	0.342	[693, 160, 1147]	[696, 0, 1304]	[684, 22, 1294]
2	6A	0.384	0.343	0.468	[384, 77, 539]	[343, 0, 657]	[468, 57, 475]
2	7	0.386	0.359	0.343	[772, 189, 1039]	[718, 0, 1282]	[686, 101, 1213]
2	7A	0.422	0.378	0.449	[422, 100, 478]	[378, 141, 481]	[449, 73, 478]
2	8	0.397	0.328	0.419	[1192, 269, 1539]	[983, 0, 2017]	[1258, 185, 1557]
2	8A	0.472	0.486	0.494	[472, 90, 438]	[486, 139, 375]	[494, 84, 422]
2	9	0.462	0.354	0.474	[1386, 304, 1310]	[1061, 0, 1939]	[1423, 210, 1367]
2	9A	0.487	0.641	0.519	[487, 104, 409]	[641, 133, 226]	[519, 88, 393]
2	10	0.517	0.357	0.539	[2067, 423, 1510]	[1429, 0, 2571]	[2157, 316, 1527]
2	10A	0.485	0.759	0.563	[485, 92, 423]	[759, 120, 121]	[563, 75, 362]
2	11	0.547	0.352	0.585	[2187, 403, 1410]	[1407, 0, 2593]	[2339, 270, 1391]
2	11A	0.554	0.885	0.597	[2216, 416, 1368]	[3540, 460, 0]	[2388, 292, 1320]
2	12	0.311	0.342	0.351	[2490, 534, 4976]	[2735, 0, 5265]	[2810, 383, 4807]
2	12A	0.462	0.358	0.447	[462, 107, 431]	[358, 0, 642]	[447, 41, 512]
2	13	0.32	0.335	0.327	[2242, 471, 4287]	[2347, 0, 4653]	[2291, 325, 4384]
2	13A	0.407	0.341	0.459	[407, 119, 474]	[341, 0, 659]	[459, 45, 496]
2	14	0.284	0.348	0.283	[1985, 374, 4641]	[2434, 0, 4566]	[1984, 360, 4656]
2	14A	0.426	0.344	0.472	[426, 86, 488]	[344, 0, 656]	[472, 53, 475]
2	15	0.248	0.35	0.274	[1490, 311, 4199]	[2102, 0, 3898]	[1642, 253, 4105]
2	15A	0.43	0.345	0.45	[430, 72, 498]	[345, 0, 655]	[450, 48, 502]
2	16	0.244	0.351	0.238	[1463, 303, 4234]	[2104, 0, 3896]	[1431, 317, 4252]
2	16A	0.385	0.36	0.458	[385, 82, 533]	[360, 0, 640]	[458, 53, 489]
2	17	0.219	0.357	0.213	[1094, 225, 3681]	[1786, 725, 2489]	[1063, 173, 3764]
2	17A	0.434	0.363	0.433	[434, 95, 471]	[363, 137, 500]	[433, 74, 493]
2	18	0.174	0.499	0.179	[871, 142, 3987]	[2495, 693, 1812]	[895, 176, 3929]
2	18A	0.489	0.502	0.5	[489, 81, 430]	[502, 128, 370]	[500, 85, 415]
2	19	0.114	0.636	0.123	[456, 72, 3472]	[2544, 488, 968]	[492, 56, 3452]
2	19A	0.485	0.611	0.534	[485, 97, 418]	[611, 135, 254]	[534, 71, 395]
2	20	0.064	0.753	0.077	[256, 48, 3696]	[3012, 508, 480]	[308, 40, 3652]
2	20A	0.515	0.751	0.555	[515, 90, 395]	[751, 127, 122]	[555, 74, 371]
3	2A	0.469	0.377	0.501	[469, 105, 426]	[377, 0, 623]	[501, 41, 458]
3	3A	0.491	0.37	0.46	[491, 86, 423]	[370, 0, 630]	[460, 49, 491]
3	4	0.392	0.378	0.333	[392, 54, 554]	[378, 0, 622]	[333, 0, 667]
3	4A	0.453	0.384	0.491	[453, 78, 469]	[384, 0, 616]	[491, 44, 465]
3	5	0.378	0.384	0.369	[378, 59, 563]	[384, 0, 616]	[369, 0, 631]
3	5A	0.429	0.398	0.476	[429, 84, 487]	[398, 0, 602]	[476, 47, 477]
3	6	0.352	0.366	0.389	[704, 150, 1146]	[733, 0, 1267]	[777, 12, 1211]
3	6A	0.406	0.388	0.494	[406, 79, 515]	[388, 0, 612]	[494, 52, 454]
3	7	0.36	0.353	0.369	[720, 201, 1079]	[707, 0, 1293]	[739, 104, 1157]
3	7A	0.438	0.362	0.467	[438, 84, 478]	[362, 138, 500]	[467, 88, 445]
3	8	0.43	0.381	0.419	[1291, 295, 1414]	[1144, 0, 1856]	[1257, 171, 1572]
3	8A	0.475	0.534	0.494	[475, 88, 437]	[534, 119, 347]	[494, 88, 418]
3	9	0.471	0.372	0.499	[1413, 301, 1286]	[1115, 0, 1885]	[1498, 215, 1287]
3	9A	0.504	0.636	0.537	[504, 99, 397]	[636, 135, 229]	[537, 83, 380]
3	10	0.542	0.39	0.576	[2168, 358, 1474]	[1561, 0, 2439]	[2303, 304, 1393]
3	10A	0.513	0.763	0.558	[513, 113, 374]	[763, 116, 121]	[558, 72, 370]
3	11	0.559	0.384	0.598	[2236, 400, 1364]	[1534, 0, 2466]	[2391, 351, 1258]
3	11A	0.548	0.897	0.576	[2192, 384, 1424]	[3588, 412, 0]	[2304, 380, 1316]
3	12	0.331	0.379	0.352	[2647, 498, 4855]	[3034, 0, 4966]	[2819, 371, 4810]
3	12A	0.483	0.374	0.448	[483, 102, 415]	[374, 0, 626]	[448, 50, 502]
3	13	0.291	0.375	0.336	[2040, 446, 4514]	[2622, 0, 4378]	[2354, 282, 4364]
3	13A	0.465	0.391	0.476	[465, 103, 432]	[391, 0, 609]	[476, 50, 474]
3	14	0.28	0.386	0.299	[1961, 437, 4602]	[2704, 0, 4296]	[2092, 352, 4556]
3	14A	0.447	0.37	0.463	[447, 82, 471]	[370, 0, 630]	[463, 53, 484]
3	15	0.268	0.355	0.274	[1605, 307, 4088]	[2131, 0, 3869]	[1646, 241, 4113]
3	15A	0.445	0.36	0.492	[445, 99, 456]	[360, 0, 640]	[492, 49, 459]
3	16	0.251	0.369	0.248	[1507, 302, 4191]	[2216, 0, 3784]	[1489, 322, 4189]
3	16A	0.426	0.397	0.472	[426, 80, 494]	[397, 0, 603]	[472, 48, 480]
3	17	0.206	0.388	0.217	[1032, 226, 3742]	[1940, 619, 2441]	[1084, 152, 3764]
3	17A	0.45	0.374	0.492	[450, 103, 447]	[374, 140, 486]	[492, 75, 433]
3	18	0.175	0.536	0.167	[875, 145, 3980]	[2679, 591, 1730]	[833, 168, 3999]
3	18A	0.471	0.521	0.472	[471, 106, 423]	[521, 117, 362]	[472, 92, 436]
3	19	0.125	0.608	0.12	[500, 92, 3408]	[2432, 544, 1024]	[480, 64, 3456]
3	19A	0.509	0.626	0.539	[509, 99, 392]	[626, 142, 232]	[539, 70, 391]
3	20	0.052	0.772	0.076	[208, 40, 3752]	[3088, 484, 428]	[304, 48, 3648]
3	20A	0.536	0.785	0.549	[536, 96, 368]	[785, 105, 110]	[549, 81, 370]
4	2A	0.5	0.387	0.496	[500, 100, 400]	[387, 0, 613]	[496, 56, 448]
4	3A	0.495	0.428	0.487	[495, 88, 417]	[428, 0, 572]	[487, 43, 470]
4	4	0.398	0.382	0.397	[398, 68, 534]	[382, 0, 618]	[397, 0, 603]
4	4A	0.46	0.409	0.511	[460, 82, 458]	[409, 0, 591]	[511, 36, 453]
4	5	0.393	0.397	0.404	[393, 71, 536]	[397, 0, 603]	[404, 0, 596]
4	5A	0.407	0.41	0.513	[407, 72, 521]	[410, 0, 590]	[513, 46, 441]
4	6	0.341	0.404	0.386	[682, 161, 1157]	[808, 0, 1192]	[772, 27, 1201]
4	6A	0.412	0.382	0.462	[412, 89, 499]	[382, 0, 618]	[462, 44, 494]
4	7	0.388	0.395	0.4	[775, 179, 1046]	[790, 0, 1210]	[800, 105, 1095]
